id,destinatie,regiune,pret_cazare,pret_masa,distanta_ref,descriere,atractii,tips
paltinis-sibiu,Păltiniș,Transilvania,350,150,310,"Stațiune montană veche, liniștită, la mare altitudine.","Arka Park, Schitul Păltiniș, Trasee Cindrel","Excelent pentru mountain biking pe timpul verii."
cluj-napoca,Cluj-Napoca,Transilvania,500,250,450,"Inima Transilvaniei, hub tehnologic și cultural.","Grădina Botanică, Piața Unirii, Parcul Central","Verifică calendarul evenimentelor; prețurile explodează în timpul Untold."
salina-turda,Turda,Transilvania,300,130,430,"Cel mai spectaculos obiectiv subteran din România.","Salina Turda, Cheile Turzii, Castrul Roman Potaissa","Ia o haină groasă; temperatura în salină este constantă la 11 grade."
alba-iulia,Alba Iulia,Transilvania,350,140,350,"Cetatea Marii Uniri, restaurată spectaculos.","Cetatea Alba Carolina, Catedrala Încoronării, Schimbul de Gardă","Nu rata ceremonia schimbului de gardă, în fiecare zi la ora 12:00."
rimetea-alba,Rimetea,Transilvania,250,100,410,"Satul unde soarele răsare de două ori.","Piatra Secuiului, Casele albe tradiționale, Cetatea Colțești","Urcarea pe Piatra Secuiului este solicitantă dar merită efortul."
oradea-city,Oradea,Transilvania,380,170,600,"Capitala Art Nouveau a României, recent renovată.","Palatul Vulturul Negru, Cetatea Oradea, Calea Republicii","Seara, malul Crișului Repede este cel mai romantic loc din oraș."
baile-felix,Băile Felix,Transilvania,400,150,610,"Cea mai mare stațiune balneară cu regim permanent.","Lacul cu Nuferi, Ștrandul Apollo, Rezervația cu lotuși","Apa termală este excelentă pentru relaxare chiar și iarna."
timisoara-city,Timișoara,Banat,450,220,550,"Orașul premierelor, plin de parcuri și piețe baroce.","Piața Victoriei, Catedrala Mitropolitană, Malurile Begăi","Fă o plimbare cu vaporetto pe Bega pentru o perspectivă nouă."
baile-herculane,Băile Herculane,Banat,300,120,380,"Stațiune istorică romană într-un cadru natural sălbatic.","Statuia lui Hercules, Cădițele cu apă termală, Cascada Bigăr (în zonă)","Vizitează clădirile istorice în curs de restaurare pentru poze superbe."
cazanele-dunarii,Dubova,Banat,350,150,390,"Unde Dunărea se îngustează între munți.","Chipul lui Decebal, Peștera Ponicova, Mănăstirea Mraconia","Închiriază o barcă pentru a vedea Tabula Traiana de pe apă."
targu-mures,Târgu Mureș,Transilvania,350,150,340,"Oraș multicultural cu clădiri emblematice.","Palatul Culturii, Cetatea Medievală, Grădina Zoologică","Palatul Culturii are una dintre cele mai frumoase Săli de Oglinzi."
sovata-mures,Sovata,Transilvania,400,160,350,"Stațiune faimoasă pentru lacurile helioterme.","Lacul Ursu, Muntele de Sare, Pârtia Sovata","Baia în Lacul Ursu este permisă doar la anumite ore pentru protecția apei."
vatra-dornei,Vatra Dornei,Bucovina,280,120,500,"Stațiunea sporturilor albe din inima Bucovinei.","Parcul Central (cu veverițe), Telescaunul, Cazinoul","Cumpără nuci pentru a hrăni veverițele din parcul central."
gura-humorului,Gura Humorului,Bucovina,350,150,450,"Bază excelentă pentru vizitarea mănăstirilor pictate.","Mănăstirea Voroneț, Parcul Ariniș, Pârtia Șoimul","Voronețul este la doar 5 minute; mergi dimineața pentru lumina optimă."
suceava-city,Suceava,Bucovina,320,130,440,"Fosta capitală a Moldovei, bogată în vestigii istorice.","Cetatea de Scaun, Muzeul Satului Bucovinean, Mănăstirea Sf. Ioan","Cetatea de Scaun oferă spectacole de lumini și sunet în sezon."
iasi-city,Iași,Moldova,400,190,390,"Capitala culturală a Moldovei, orașul celor șapte coline.","Palatul Culturii, Grădina Copou, Mitropolia Moldovei","Teiul lui Eminescu din Copou este un simbol obligatoriu de vizitat."
paitra-neamt,Piatra Neamț,Moldova,300,130,350,"Oraș montan supranumit Piatra de Smarald.","Telegondola, Curtea Domnească, Muntele Pietricica","Telegondola te duce direct pe muntele Cozla pentru o vedere panoramică."
durau-neamt,Durău,Moldova,280,110,380,"Liniște la poalele masivului Ceahlău.","Mănăstirea Durău, Traseul spre Cascada Duruitoarea, Pârtia Durău","Este cea mai bună poartă de intrare pentru drumețiile spre vârful Toaca."
mamaia-nord,Mamaia Nord,Litoral,600,300,230,"Zona modernă a litoralului, plină de cluburi și apartamente.","Plaja, Cluburile Loft/Fratelli, Promenada Năvodari","Prețurile la mâncare sunt cu 30% mai mari decât în orașul Constanța."
constanta-city,Constanța,Litoral,350,160,225,"Oraș portuar istoric, viu tot timpul anului.","Cazinoul (faleza), Delfinariul, Portul Tomis","Mănâncă pește proaspăt în Portul Tomis la apus."
eforie-nord,Eforie Nord,Litoral,350,130,240,"Destinație de familie cu tratamente Techirghiol.","Lacul Techirghiol, Plaja Belona, Faleza Eforie","Nămolul de Techirghiol este faimos; încearcă o ședință de relaxare."
costinesti-statiune,Costinești,Litoral,280,110,250,"Stațiunea tineretului și a distracției estivale.","Epava Evanghelia, Obeliscul, Discoteca Tineretului","Epava este simbolul locului; poți face excursii cu barca până lângă ea."
neptun-olimp,Neptun,Litoral,450,180,260,"Stațiune verde, liniștită, preferată în trecut de elite.","Plaja Steaguri, Pădurea Comorova, Restaurantele cu specific pescăresc","Plaja Steaguri este una dintre cele mai late și curate de pe litoral."
vama-veche,Vama Veche,Litoral,350,150,270,"Spirit liber, muzică rock și răsărituri memorabile.","Plaja, Cherhanalele, Concertele live de pe nisip","Răsăritul acompaniat de Bolero-ul lui Ravel este o tradiție."
tulcea-city,Tulcea,Dobrogea,300,130,280,"Poarta de intrare în Delta Dunării.","Acvariul (Centrul Delta Dunării), Monumentul Independenței, Faleza","Rezervă barca pentru Deltă cu o zi înainte de plecarea din Tulcea."
sfantu-gheorghe,Sfântu Gheorghe,Delta Dunării,400,200,350,"Locul unde Dunărea întâlnește Marea Neagră.","Vărsarea Dunării, Plaja sălbatică, Festivalul Anonimul","Accesul se face doar cu barca; lasă mașina în parcarea din Mahmudia."
sulina-oras,Sulina,Delta Dunării,350,180,380,"Cel mai estic punct al României, oraș cu istorie multietnică.","Farul Vechi, Cimitirul Maritim, Plaja Sulina","Plaja Sulina are cel mai fin nisip din toată România."
gura-portitei,Gura Portiței,Delta Dunării,550,250,320,"Fâșie îngustă de nisip între lacul Razim și mare.","Satul de vacanță, Plaja sălbatică, Plimbări pe lac","Este un loc exclusivist; liniștea este principalul atu."
craiova-city,Craiova,Oltenia,320,140,230,"Oraș cultural cu cel mai frumos parc natural din estul Europei.","Parcul Nicolae Romanescu, Muzeul de Artă, Centrul Vechi","Târgul de Crăciun din Craiova este votat constant în topul european."
targu-jiu,Târgu Jiu,Oltenia,280,120,270,"Orașul lui Brâncuși, muzeu în aer liber.","Coloana Infinitului, Poarta Sărutului, Masa Tăcerii","Ansamblul Brâncuși este gratuit și poate fi vizitat la orice oră."
ranca-gorj,Rânca,Oltenia,300,130,280,"Stațiunea de pe Transalpina, la peste 1600m.","Transalpina, Pârtiile de schi, Vârful Păpușa","Transalpina este închisă iarna; verifică starea drumului înainte."
curtea-de-arges,Curtea de Argeș,Muntenia,280,120,155,"Fosta capitală a Țării Românești, loc de odihnă regal.","Mănăstirea Curtea de Argeș, Necropola Regală, Cetatea Poenari","Cetatea Poenari are peste 1400 de trepte; pregătește-te de efort."
transfagarasan-balea,Bâlea Lac,Muntenia/Transilvania,500,180,240,"Cea mai spectaculoasă șosea montană, accesibilă vara.","Lacul Bâlea, Hotelul de Gheață (iarna), Cascada Bâlea","Iarna accesul se face doar cu telecabina de la Bâlea Cascadă."
viscri-brasov,Viscri,Transilvania,450,150,250,"Satul preferat al Regelui Charles, model de conservare.","Biserica Fortificată, Atelierele de meșteșuguri, Peisajele rurale","Mașinile vizitatorilor trebuie lăsate la intrarea în sat."
biertan-sibiu,Biertan,Transilvania,300,120,300,"Centrul religios al sașilor, sit UNESCO.","Biserica Fortificată, Turnul Slăninilor, Închisoarea matrimonială","Biserica are un sistem de închidere al porții vechi de 500 de ani."
breb-maramures,Breb,Maramureș,280,110,550,"Cel mai fotografiat sat din Maramureș.","Porțile de lemn, Biserica veche, Stilul de viață arhaic","Mâncarea la gazdele locale este mult mai bună decât la restaurante."
sapanata-maramures,Săpânța,Maramureș,250,100,580,"Locul unde moartea este tratată cu umor.","Cimitirul Vesel, Mănăstirea Peri (cea mai înaltă din lemn)","Citește epitafurile de pe cruci; sunt povești de viață fascinante."
baile-tusnad,Băile Tușnad,Harghita,320,130,230,"Cel mai mic oraș din țară, înconjurat de păduri vulcanice.","Lacul Sfânta Ana, Tinovul Mohos, Stânca Șoimilor","Lacul Sfânta Ana este singurul lac vulcanic din România."
corbu-vadu,Corbu,Litoral,300,120,250,"Ultimele plaje sălbatice mari de pe litoralul românesc.","Plaja Corbu, Rezervația biosferei, Grindul Lupilor","Nu există facilități (șezlonguri/umbrele); vino cu tot ce ai nevoie."
borsec-harghita,Borsec,Harghita,280,110,400,"Regina apelor minerale, într-o depresiune pitorească.","Izvoarele minerale, Grota Urșilor, Pârtia Speranța","Izvoarele au gusturi diferite; încearcă-le pe toate pentru sănătate."
