judet,id,universitate,specializare,durata_ani,taxa_anuala_lei,salariu_debutant_net,status,descriere,piata_muncii,acte_admitere,costuri_ascunse,perspective_cariera
Cluj,medicina-umf-cluj,UMF Iuliu Hațieganu,Medicină,6,15000,6500,"Sigur","Standarde europene și cercetare de nivel înalt.","Hub medical regional extrem de puternic.","Examen Bio/Chimie","Materiale cercetare, stagii externe.","Medic Specialist, Academic."
Cluj,drept-ubb-cluj,UBB Cluj,Drept,4,4800,4300,"Stabil","Excelență juridică cu deschidere către dreptul european.","Case de avocatură mari și instituții din Ardeal.","Examen Gândire Critică","Tratate juridice, taxe examinare.","Avocat, Consilier European."
Constanța,marina-umc,UMC Constanța,Navigație,4,6500,9000,"Elite","Cariera cu cel mai rapid profit din listă.","Piața globală de shipping (venituri în valută).","Examen Mate/Engleză","Uniforme, cursuri siguranță.","Ofițer Navigație, Ship Manager."
Dolj,craiova-ucv-it,UCV Craiova,Automatică,4,3500,5800,"Căutat","Motorul digital al regiunii Oltenia.","Investiții tech și automotive în Craiova.","Examen Mate","Kituri robotică, senzori.","Systems Engineer, Developer."
Dolj,craiova-umf-medicina,UMF Craiova,Medicină,6,10000,6000,"Sigur","Formare medicală de bază pentru sudul țării.","Spitalele județene și rețele private regionale.","Examen Bio/Chimie","Echipament protecție, cursuri.","Medic Rezident, Specialist."
Iași,iasi-asachi-it,TUIASI Iași,Electronică,4,4000,5500,"Căutat","Excelență tehnică pentru hardware și R&D.","Companiile de semiconductori din Moldova.","Examen Mate/Fizică","Componente, osciloscop.","Hardware Engineer, Embedded Dev."
Iași,iasi-uaic-drept,UAIC Iași,Drept,4,3500,4000,"Stabil","Cea mai veche școală de drept din România.","Justiția din regiunea de Nord-Est și privat.","Examen Gândire Critică","Cărți vechi, taxe Barou.","Procuror, Avocat, Jurist."
Iași,iasi-umf-medicina,UMF Gr. T. Popa,Medicină,6,12000,6300,"Sigur","Hub medical major pentru toată regiunea Moldovei.","Angajare în spitale universitare și clinici.","Examen Bio/Chimie","Atlasuri anatomie, congrese.","Medic, Cercetător."
Sibiu,sibiu-ulbs-inginerie,ULBS Sibiu,Inginerie Industrială,4,3800,5100,"Strategic","Inginerie aplicată pentru industria germană din zonă.","Parteneriate directe cu marii angajatori germani.","Dosar + Eseu","Vizite fabrici, licențe soft.","Manager Producție, Inginer."
Sibiu,sibiu-ulbs-drept,ULBS Sibiu,Drept,4,3200,3600,"Stabil","Focus pe dreptul afacerilor și administrație.","Piața juridică locală din Sibiu și județele vecine.","Dosar + Eseu","Coduri de legi, cursuri extra.","Consilier Juridic, Avocat."
Timiș,timisoara-uvt-it,UVT Timișoara,Informatică,3,4000,7000,"Căutat","Lider digital pentru Banat și regiunea de Vest.","Companiile tech multinaționale din Timișoara.","Examen Mate/Info","Certificări securitate, laptop.","Security Specialist, Cloud Dev."
Timiș,timisoara-umft-medicina,UMF Timișoara,Medicină,6,12000,6400,"Sigur","Educație medicală de top cu deschidere spre vest.","Sistemul sanitar din Banat și clinici private.","Examen Bio/Chimie","Echipament, materiale laborator.","Medic Rezident, Specialist."
Timiș,timisoara-poli-inginerie,Politehnica TM,Electronică,4,3800,5800,"Strategic","Expertiză în sisteme integrate și telecomunicații.","Hub-ul automotive și electronic din Timiș.","Examen Mate","Componente, instrumente măsură.","Embedded Engineer, Telecom Spec."
